PONumber,Date Submitted,ASN Done,ASN Date Submitted,Order Date

Date Submitted,ASN Done?,ASN Date Submitted,Order Date
5/3/2021 12:50:56 PM,Yes,05/05/2021 05:29:16 PM,2021-05-03
9824565255,3/29/2021 12:59:01 PM,Yes,03/30/2021 06:53:44 PM,2021-03-29
6723817653,3/29/2021 12:59:00 PM,Yes,03/30/2021 06:55:06 PM,2021-03-29
6470903591,3/29/2021 12:58:59 PM,Yes,03/30/2021 07:21:12 PM,2021-03-29
6970093908,3/29/2021 12:58:58 PM,Yes,03/30/2021 07:22:14 PM,2021-03-29
7870153779,3/29/2021 12:58:57 PM,Yes,03/30/2021 07:23:51 PM,2021-03-29
8268937269,3/29/2021 12:58:56 PM,Yes,03/30/2021 07:25:19 PM,2021-03-29
6970474104,3/29/2021 12:58:55 PM,Yes,03/30/2021 07:26:21 PM,2021-03-29
1420773713,3/29/2021 12:58:54 PM,Yes,03/30/2021 07:38:36 PM,2021-03-29
3769625212,3/29/2021 12:58:53 PM,Yes,03/30/2021 07:41:26 PM,2021-03-29
4669595209,3/29/2021 12:58:51 PM,Yes,03/30/2021 07:42:47 PM,2021-03-29
6469225492




PONumber,Date Submitted,ASN Done,ASN Date Submitted,Order Date

Date Submitted,ASN Done?,ASN Date Submitted,Order Date
3/29/2021 12:58:40 PM,Yes,03/30/2021 07:44:06 PM,2021-03-29
2369235940,3/29/2021 12:58:33 PM,Yes,03/30/2021 07:45:21 PM,2021-03-29
2169166590,3/29/2021 12:58:26 PM,Yes,03/30/2021 07:46:28 PM,2021-03-29
5871432659,3/29/2021 12:58:18 PM,Yes,03/30/2021 07:47:50 PM,2021-03-29
4870054758,3/29/2021 12:58:13 PM,Yes,03/30/2021 07:48:55 PM,2021-03-29
2421542992,3/29/2021 12:58:12 PM,Yes,03/30/2021 07:50:33 PM,2021-03-29
9868848391,3/29/2021 12:58:11 PM,Yes,03/30/2021 07:51:53 PM,2021-03-29
4269625143,3/29/2021 12:58:10 PM,Yes,03/30/2021 07:52:45 PM,2021-03-29
6122401736,3/22/2021 12:47:47 PM,Yes,03/24/2021 06:43:58 PM,2021-03-22
7369055950,3/22/2021 12:47:40 PM,Yes,03/24/2021 06:44:51 PM,2021-03-22
7719196150,3/22/2021 12:47:39 PM,Yes,03/24/2021 06:45:58 PM,2021-03-22
8326302669,3/22/2021 12:47:38 PM,Yes,03/24/2021 06:47:19 PM,2021-03-22
7971632408,3/22/2021 12:47:37 PM,Yes,03/24/2021 06:48:29 PM,2021-03-22
9824944006,3/22/2021 12:47:36 PM,Yes,03/24/2021 06:56:01 PM,2021-03-22
8570153832,3/22/2021 12:47:35 PM,Yes,03/24/2021 06:57:30 PM,2021-03-22
9824565038,3/22/2021 12:47:34 PM,Yes,03/24/2021 07:00:47 PM,2021-03-22
8925373724,3/22/2021 12:47:33 PM,Yes,03/24/2021 07:01:52 PM,2021-03-22
9669864807,3/22/2021 12:47:32 PM,Yes,03/24/2021 07:03:19 PM,2021-03-22
8268937064,3/22/2021 12:47:31 PM,Yes,03/24/2021 07:43:20 PM,2021-03-22
